Token,Lexeme,Form,Stem,Rule
ᾐλέγμην,lsj.n62205,forms.3115120000,verbstems.n62205d,verbinfl.pp5plupft2
ᾐλέγμην,lsj.n62205,forms.3115130000,verbstems.n62205d,verbinfl.pp5plupft3
ᾔλεξο,lsj.n62205,forms.3215120000,verbstems.n62205d,verbinfl.pp5plupft5
ᾔλεξο,lsj.n62205,forms.3215130000,verbstems.n62205d,verbinfl.pp5plupft6
ᾔλεκτο,lsj.n62205,forms.3315120000,verbstems.n62205d,verbinfl.pp5plupft8
ᾔλεκτο,lsj.n62205,forms.3315130000,verbstems.n62205d,verbinfl.pp5plupft9
ᾐλέγμεθα,lsj.n62205,forms.3135120000,verbstems.n62205d,verbinfl.pp5plupft11
ᾐλέγμεθα,lsj.n62205,forms.3135130000,verbstems.n62205d,verbinfl.pp5plupft12
ᾔλεξθε,lsj.n62205,forms.3235120000,verbstems.n62205d,verbinfl.pp5plupft14
ᾔλεξθε,lsj.n62205,forms.3235130000,verbstems.n62205d,verbinfl.pp5plupft15
ᾐλέγντο,lsj.n62205,forms.3335120000,verbstems.n62205d,verbinfl.pp5plupft17
ᾐλέγντο,lsj.n62205,forms.3335130000,verbstems.n62205d,verbinfl.pp5plupft18
εἰλέγσθαι,lsj.n62205,forms.4004020000,verbstems.n62205d,infinfl.wmixed8
εἰλέγσθαι,lsj.n62205,forms.4004030000,verbstems.n62205d,infinfl.wmixed9
εἰλεγμένος,lsj.n62205,forms.5014021100,verbstems.n62205d,ptcplinfl.pp5mp1
εἰλεγμένου,lsj.n62205,forms.5014021200,verbstems.n62205d,ptcplinfl.pp5mp2
εἰλεγμένῳ,lsj.n62205,forms.5014021300,verbstems.n62205d,ptcplinfl.pp5mp3
εἰλεγμένον,lsj.n62205,forms.5014021400,verbstems.n62205d,ptcplinfl.pp5mp4
εἰλεγμένοι,lsj.n62205,forms.5034021100,verbstems.n62205d,ptcplinfl.pp5mp6
εἰλεγμένων,lsj.n62205,forms.5034021200,verbstems.n62205d,ptcplinfl.pp5mp7
εἰλεγμένοις,lsj.n62205,forms.5034021300,verbstems.n62205d,ptcplinfl.pp5mp8
εἰλεγμένους,lsj.n62205,forms.5034021400,verbstems.n62205d,ptcplinfl.pp5mp9
εἰλεγμένος,lsj.n62205,forms.5014031100,verbstems.n62205d,ptcplinfl.pp5mp1p
εἰλεγμένου,lsj.n62205,forms.5014031200,verbstems.n62205d,ptcplinfl.pp5mp2p
εἰλεγμένῳ,lsj.n62205,forms.5014031300,verbstems.n62205d,ptcplinfl.pp5mp3p
εἰλεγμένον,lsj.n62205,forms.5014031400,verbstems.n62205d,ptcplinfl.pp5mp4p
εἰλεγμένοι,lsj.n62205,forms.5034031100,verbstems.n62205d,ptcplinfl.pp5mp6p
εἰλεγμένων,lsj.n62205,forms.5034031200,verbstems.n62205d,ptcplinfl.pp5mp7p
εἰλεγμένοις,lsj.n62205,forms.5034031300,verbstems.n62205d,ptcplinfl.pp5mp8p
εἰλεγμένους,lsj.n62205,forms.5034031400,verbstems.n62205d,ptcplinfl.pp5mp9p
εἰλεγμένον,lsj.n62205,forms.5014023100,verbstems.n62205d,ptcplinfl.pp5mp11p
εἰλεγμένου,lsj.n62205,forms.5014023200,verbstems.n62205d,ptcplinfl.pp5mp12p
εἰλεγμένῳ,lsj.n62205,forms.5014023300,verbstems.n62205d,ptcplinfl.pp5mp13p
εἰλεγμένον,lsj.n62205,forms.5014023400,verbstems.n62205d,ptcplinfl.pp5mp14p
εἰλεγμένα,lsj.n62205,forms.5034023100,verbstems.n62205d,ptcplinfl.pp5mp16p
εἰλεγμένων,lsj.n62205,forms.5034023200,verbstems.n62205d,ptcplinfl.pp5mp17p
εἰλεγμένοις,lsj.n62205,forms.5034023300,verbstems.n62205d,ptcplinfl.pp5mp18p
εἰλεγμένα,lsj.n62205,forms.5034023400,verbstems.n62205d,ptcplinfl.pp5mp19p
εἰλεγμένον,lsj.n62205,forms.5014033100,verbstems.n62205d,ptcplinfl.pp5mp11p
εἰλεγμένου,lsj.n62205,forms.5014033200,verbstems.n62205d,ptcplinfl.pp5mp12p
εἰλεγμένῳ,lsj.n62205,forms.5014033300,verbstems.n62205d,ptcplinfl.pp5mp13p
εἰλεγμένον,lsj.n62205,forms.5014033400,verbstems.n62205d,ptcplinfl.pp5mp14p
εἰλεγμένα,lsj.n62205,forms.5034033100,verbstems.n62205d,ptcplinfl.pp5mp16p
εἰλεγμένων,lsj.n62205,forms.5034033200,verbstems.n62205d,ptcplinfl.pp5mp17p
εἰλεγμένοις,lsj.n62205,forms.5034033300,verbstems.n62205d,ptcplinfl.pp5mp18p
εἰλεγμένα,lsj.n62205,forms.5034033400,verbstems.n62205d,ptcplinfl.pp5mp19p
εἰλεγμένη,lsj.n62205,forms.5014022100,verbstems.n62205d,ptcplinfl.pp5mp20
εἰλεγμένης,lsj.n62205,forms.5014022200,verbstems.n62205d,ptcplinfl.pp5mp21
εἰλεγμένῃ,lsj.n62205,forms.5014022300,verbstems.n62205d,ptcplinfl.pp5mp22
εἰλεγμένην,lsj.n62205,forms.5014022400,verbstems.n62205d,ptcplinfl.pp5mp23
εἰλεγμέναι,lsj.n62205,forms.5034022100,verbstems.n62205d,ptcplinfl.pp5mp24
εἰλεγμένων,lsj.n62205,forms.5034022200,verbstems.n62205d,ptcplinfl.pp5mp25
εἰλεγμέναις,lsj.n62205,forms.5034022300,verbstems.n62205d,ptcplinfl.pp5mp26
εἰλεγμένας,lsj.n62205,forms.5034022400,verbstems.n62205d,ptcplinfl.pp5mp27
εἰλεγμένη,lsj.n62205,forms.5014032100,verbstems.n62205d,ptcplinfl.pp5mp20p
εἰλεγμένης,lsj.n62205,forms.5014032200,verbstems.n62205d,ptcplinfl.pp5mp21p
εἰλεγμένῃ,lsj.n62205,forms.5014032300,verbstems.n62205d,ptcplinfl.pp5mp22p
εἰλεγμένην,lsj.n62205,forms.5014032400,verbstems.n62205d,ptcplinfl.pp5mp23p
εἰλεγμέναι,lsj.n62205,forms.5034032100,verbstems.n62205d,ptcplinfl.pp5mp24p
εἰλεγμένων,lsj.n62205,forms.5034032200,verbstems.n62205d,ptcplinfl.pp5mp25p
εἰλεγμέναις,lsj.n62205,forms.5034032300,verbstems.n62205d,ptcplinfl.pp5mp26p
εἰλεγμένας,lsj.n62205,forms.5034032400,verbstems.n62205d,ptcplinfl.pp5mp27p
ἐλέχθην,lsj.n62205,forms.3113130000,verbstems.n62205f,verbinfl.wpp6aor3
ἐλέχθης,lsj.n62205,forms.3213130000,verbstems.n62205f,verbinfl.wpp6aor6
ἐλέχθη,lsj.n62205,forms.3313130000,verbstems.n62205f,verbinfl.wpp6aor9
ἐλέχθημεν,lsj.n62205,forms.3133130000,verbstems.n62205f,verbinfl.wpp6aor12
ἐλέχθητε,lsj.n62205,forms.3233130000,verbstems.n62205f,verbinfl.wpp6aor15
ἐλέχθησαν,lsj.n62205,forms.3333130000,verbstems.n62205f,verbinfl.wpp6aor18
λεχθείην,lsj.n62205,forms.3113330000,verbstems.n62205f,verbinfl.pp6aoropt3
λεχθείη,lsj.n62205,forms.3213330000,verbstems.n62205f,verbinfl.pp6aoropt6
λεχθείη,lsj.n62205,forms.3313330000,verbstems.n62205f,verbinfl.pp6aoropt9
λεχθεῖμεν,lsj.n62205,forms.3133330000,verbstems.n62205f,verbinfl.pp6aoropt12
λεχθεῖτε,lsj.n62205,forms.3233330000,verbstems.n62205f,verbinfl.pp6aoropt15
λεχθεῖεν,lsj.n62205,forms.3333330000,verbstems.n62205f,verbinfl.pp6aoropt18
λεχθῶ,lsj.n62205,forms.3113230000,verbstems.n62205f,verbinfl.pp6aorsubj3
λεχθῇς,lsj.n62205,forms.3213230000,verbstems.n62205f,verbinfl.pp6aorsubj6
λεχθῇ,lsj.n62205,forms.3313230000,verbstems.n62205f,verbinfl.pp6aorsubj9
λεχθῶμεν,lsj.n62205,forms.3133230000,verbstems.n62205f,verbinfl.pp6aorsubj12
λεχθῆτε,lsj.n62205,forms.3233230000,verbstems.n62205f,verbinfl.pp6aorsubj15
λεχθῶσι,lsj.n62205,forms.3333230000,verbstems.n62205f,verbinfl.pp6aorsubj18
λεχθῶσιν,lsj.n62205,forms.3333230000,verbstems.n62205f,verbinfl.pp6aorsubj18a
λεχθήσομαι,lsj.n62205,forms.3116130000,verbstems.n62205f,verbinfl.pp6fut3
λεχθήσεις,lsj.n62205,forms.3216130000,verbstems.n62205f,verbinfl.pp6fut6
λεχθήσει,lsj.n62205,forms.3316130000,verbstems.n62205f,verbinfl.pp6fut9
λεχθησόμεθα,lsj.n62205,forms.3136130000,verbstems.n62205f,verbinfl.pp6fut12
λεχθήσεσθε,lsj.n62205,forms.3236130000,verbstems.n62205f,verbinfl.pp6fut15
λεχθήσονται,lsj.n62205,forms.3336130000,verbstems.n62205f,verbinfl.pp6fut18
λεχθησοίμην,lsj.n62205,forms.3116330000,verbstems.n62205f,verbinfl.pp6futopt3
λεχθήσοιο,lsj.n62205,forms.3216330000,verbstems.n62205f,verbinfl.pp6futopt6
λεχθήσοιτο,lsj.n62205,forms.3316330000,verbstems.n62205f,verbinfl.pp6futopt9
λεχθησοίμην,lsj.n62205,forms.3136330000,verbstems.n62205f,verbinfl.pp6futopt12
λεχθήσοισθε,lsj.n62205,forms.3236330000,verbstems.n62205f,verbinfl.pp6futopt15
λεχθήσοιντο,lsj.n62205,forms.3336330000,verbstems.n62205f,verbinfl.pp6futopt18
λέχσθητι,lsj.n62205,forms.3213430000,verbstems.n62205f,verbinfl.pp6aorimp9
λεχσθήτω,lsj.n62205,forms.3313430000,verbstems.n62205f,verbinfl.pp6aorimp10
λέχσθητε,lsj.n62205,forms.3233430000,verbstems.n62205f,verbinfl.pp6aorimp11
λεχσθέντων,lsj.n62205,forms.3333430000,verbstems.n62205f,verbinfl.pp6aorimp12
λεχθήσεσθαι,lsj.n62205,forms.4006030000,verbstems.n62205f,infinfl.wmixed6
λεχθῆναι,lsj.n62205,forms.4003030000,verbstems.n62205f,infinfl.wmixed6
λεχθεῖς,lsj.n62205,forms.5013031100,verbstems.n62205f,ptcplinfl.pp6pass1p
λεχθέντος,lsj.n62205,forms.5013031200,verbstems.n62205f,ptcplinfl.pp6pass2p
λεχθέντι,lsj.n62205,forms.5013031300,verbstems.n62205f,ptcplinfl.pp6pass3p
λεχθέντα,lsj.n62205,forms.5013031400,verbstems.n62205f,ptcplinfl.pp6pass4p
λεχθέντες,lsj.n62205,forms.5033031100,verbstems.n62205f,ptcplinfl.pp6pass6p
λεχθέντων,lsj.n62205,forms.5033031200,verbstems.n62205f,ptcplinfl.pp6pass7p
λεχθεῖσι,lsj.n62205,forms.5033031300,verbstems.n62205f,ptcplinfl.pp6pass8p
λεχθεῖσιν,lsj.n62205,forms.5033031300,verbstems.n62205f,ptcplinfl.pp6pass8pa
λεχθέντας,lsj.n62205,forms.5033031400,verbstems.n62205f,ptcplinfl.pp6pass9p
λεχθέν,lsj.n62205,forms.5013033100,verbstems.n62205f,ptcplinfl.pp6pass11
λεχθέντος,lsj.n62205,forms.5013033200,verbstems.n62205f,ptcplinfl.pp6pass12
λεχθέντι,lsj.n62205,forms.5013033300,verbstems.n62205f,ptcplinfl.pp6pass13
λεχθέν,lsj.n62205,forms.5013033400,verbstems.n62205f,ptcplinfl.pp6pass14
λεχθέντα,lsj.n62205,forms.5033033100,verbstems.n62205f,ptcplinfl.pp6pass16
λεχθέντων,lsj.n62205,forms.5033033200,verbstems.n62205f,ptcplinfl.pp6pass17
λεχθεῖσι,lsj.n62205,forms.5033033300,verbstems.n62205f,ptcplinfl.pp6pass18
λεχθεῖσιν,lsj.n62205,forms.5033033300,verbstems.n62205f,ptcplinfl.pp6pass18a
λεχθέντα,lsj.n62205,forms.5033033400,verbstems.n62205f,ptcplinfl.pp6pass19
λεχθεῖσα,lsj.n62205,forms.5013032100,verbstems.n62205f,ptcplinfl.pp6pass21
λεχθείσης,lsj.n62205,forms.5013032200,verbstems.n62205f,ptcplinfl.pp6pass22
λεχθείσῃ,lsj.n62205,forms.5013032300,verbstems.n62205f,ptcplinfl.pp6pass23
λεχθεῖσαν,lsj.n62205,forms.5013032400,verbstems.n62205f,ptcplinfl.pp6pass24
λεχθεῖσαι,lsj.n62205,forms.5033032100,verbstems.n62205f,ptcplinfl.pp6pass26
λεχθείσων,lsj.n62205,forms.5033032200,verbstems.n62205f,ptcplinfl.pp6pass27
λεχθεῖσι,lsj.n62205,forms.5033032300,verbstems.n62205f,ptcplinfl.pp6pass28
λεχθεῖσιν,lsj.n62205,forms.5033032300,verbstems.n62205f,ptcplinfl.pp6pass28a
λέχθεισας,lsj.n62205,forms.5033032400,verbstems.n62205f,ptcplinfl.pp6pass29
λεχθησόμενος,lsj.n62205,forms.5016031100,verbstems.n62205f,ptcplinfl.pp61p
λεχθησομένου,lsj.n62205,forms.5016031200,verbstems.n62205f,ptcplinfl.pp62p
λεχθησομένῳ,lsj.n62205,forms.5016031300,verbstems.n62205f,ptcplinfl.pp63p
λεχθησόμενον,lsj.n62205,forms.5016031400,verbstems.n62205f,ptcplinfl.pp64p
λεχθησόμενοι,lsj.n62205,forms.5036031100,verbstems.n62205f,ptcplinfl.pp66p
λεχθησομένων,lsj.n62205,forms.5036031200,verbstems.n62205f,ptcplinfl.pp67p
λεχθησομένοις,lsj.n62205,forms.5036031300,verbstems.n62205f,ptcplinfl.pp68p
λεχθησομένους,lsj.n62205,forms.5036031400,verbstems.n62205f,ptcplinfl.pp69p
λεχθησόμενον,lsj.n62205,forms.5016033100,verbstems.n62205f,ptcplinfl.pp611p
λεχθησομένου,lsj.n62205,forms.5016033200,verbstems.n62205f,ptcplinfl.pp612p
λεχθησομένῳ,lsj.n62205,forms.5016033300,verbstems.n62205f,ptcplinfl.pp613p
λεχθησόμενον,lsj.n62205,forms.5016033400,verbstems.n62205f,ptcplinfl.pp614p
λεχθησόμενα,lsj.n62205,forms.5036033100,verbstems.n62205f,ptcplinfl.pp616p
λεχθησομένων,lsj.n62205,forms.5036033200,verbstems.n62205f,ptcplinfl.pp617p
λεχθησομένοις,lsj.n62205,forms.5036033300,verbstems.n62205f,ptcplinfl.pp618p
λεχθησόμενα,lsj.n62205,forms.5036033400,verbstems.n62205f,ptcplinfl.pp619p
λεχθησομένη,lsj.n62205,forms.5016032100,verbstems.n62205f,ptcplinfl.pp620
λεχθησομένης,lsj.n62205,forms.5016032200,verbstems.n62205f,ptcplinfl.pp621
λεχθησομένῃ,lsj.n62205,forms.5016032300,verbstems.n62205f,ptcplinfl.pp622
λεχθησομένην,lsj.n62205,forms.5016032400,verbstems.n62205f,ptcplinfl.pp623
λεχθησόμεναι,lsj.n62205,forms.5036032100,verbstems.n62205f,ptcplinfl.pp624
λεχθησομένων,lsj.n62205,forms.5036032200,verbstems.n62205f,ptcplinfl.pp625
λεχθησομέναις,lsj.n62205,forms.5036032300,verbstems.n62205f,ptcplinfl.pp626
λεχθησομένας,lsj.n62205,forms.5036032400,verbstems.n62205f,ptcplinfl.pp627
εἰπέ,lsj.n31161,forms.3213410000,verbstems.n31161,verbinfl.aor2imp1
εἰπέτω,lsj.n31161,forms.3313410000,verbstems.n31161,verbinfl.aor2imp2
εἰπέτε,lsj.n31161,forms.3233410000,verbstems.n31161,verbinfl.aor2imp3
εἰπόντων,lsj.n31161,forms.3333410000,verbstems.n31161,verbinfl.aor2imp4
εἰποῦ,lsj.n31161,forms.3213420000,verbstems.n31161,verbinfl.aor2imp5
εἰπέσθω,lsj.n31161,forms.3313420000,verbstems.n31161,verbinfl.aor2imp6
εἰπέσθε,lsj.n31161,forms.3233420000,verbstems.n31161,verbinfl.aor2imp7
εἰπέσθων,lsj.n31161,forms.3333420000,verbstems.n31161,verbinfl.aor2imp8
ᾖπον,lsj.n31161,forms.3113110000,verbstems.n31161,verbinfl.aor21
ᾐπόμην,lsj.n31161,forms.3113120000,verbstems.n31161,verbinfl.aor22
ᾖπες,lsj.n31161,forms.3213110000,verbstems.n31161,verbinfl.aor24
ᾔπου,lsj.n31161,forms.3213120000,verbstems.n31161,verbinfl.aor25
ᾖπε,lsj.n31161,forms.3313110000,verbstems.n31161,verbinfl.aor27
ᾔπετο,lsj.n31161,forms.3313120000,verbstems.n31161,verbinfl.aor28
ᾔπομεν,lsj.n31161,forms.3133110000,verbstems.n31161,verbinfl.aor210
ᾐπόμεθα,lsj.n31161,forms.3133120000,verbstems.n31161,verbinfl.aor211
ᾔπετε,lsj.n31161,forms.3233110000,verbstems.n31161,verbinfl.aor213
ᾔπεσθε,lsj.n31161,forms.3233120000,verbstems.n31161,verbinfl.aor214
ᾖπον,lsj.n31161,forms.3333110000,verbstems.n31161,verbinfl.aor216
ᾔποντο,lsj.n31161,forms.3333120000,verbstems.n31161,verbinfl.aor217
εἰπεῖν,lsj.n31161,forms.4003010000,verbstems.n31161,infinfl.aor2_4
εἰπέσθαι,lsj.n31161,forms.4003020000,verbstems.n31161,infinfl.aor2_5
εἰπών,lsj.n31161,forms.5011011100,verbstems.n31161,ptcplinfl.aor2act1
εἰπόντος,lsj.n31161,forms.5011011200,verbstems.n31161,ptcplinfl.aor2act2
εἰπόντι,lsj.n31161,forms.5011011300,verbstems.n31161,ptcplinfl.aor2act3
εἰπόντα,lsj.n31161,forms.5011011400,verbstems.n31161,ptcplinfl.aor2act4
εἰπόντες,lsj.n31161,forms.5031011100,verbstems.n31161,ptcplinfl.aor2act6
εἰπόντων,lsj.n31161,forms.5031011200,verbstems.n31161,ptcplinfl.aor2act7
εἰπόντοις,lsj.n31161,forms.5031011300,verbstems.n31161,ptcplinfl.aor2act8
εἰπόντας,lsj.n31161,forms.5031011400,verbstems.n31161,ptcplinfl.aor2act9
εἰπόν,lsj.n31161,forms.5011013100,verbstems.n31161,ptcplinfl.aor2act1n
εἰπόντος,lsj.n31161,forms.5011013200,verbstems.n31161,ptcplinfl.aor2act2n
εἰπόντι,lsj.n31161,forms.5011013300,verbstems.n31161,ptcplinfl.aor2act3n
εἰπόν,lsj.n31161,forms.5011013400,verbstems.n31161,ptcplinfl.aor2act4n
εἰπόντα,lsj.n31161,forms.5031013100,verbstems.n31161,ptcplinfl.aor2act6n
εἰπόντων,lsj.n31161,forms.5031013200,verbstems.n31161,ptcplinfl.aor2act7n
εἰπόντοις,lsj.n31161,forms.5031013300,verbstems.n31161,ptcplinfl.aor2act8n
εἰπόντα,lsj.n31161,forms.5031013400,verbstems.n31161,ptcplinfl.aor2act9n
εἰποῦσα,lsj.n31161,forms.5011012100,verbstems.n31161,ptcplinfl.aor2act1f
εἰπούσης,lsj.n31161,forms.5011012200,verbstems.n31161,ptcplinfl.aor2act2f
εἰπούσῃ,lsj.n31161,forms.5011012300,verbstems.n31161,ptcplinfl.aor2act3f
εἰποῦσαν,lsj.n31161,forms.5011012400,verbstems.n31161,ptcplinfl.aor2act4f
εἰποῦσαι,lsj.n31161,forms.5031012100,verbstems.n31161,ptcplinfl.aor2act6f
εἰπούσων,lsj.n31161,forms.5031012200,verbstems.n31161,ptcplinfl.aor2act7f
εἰπούσαις,lsj.n31161,forms.5031012300,verbstems.n31161,ptcplinfl.aor2act8f
εἰπούσας,lsj.n31161,forms.5031012400,verbstems.n31161,ptcplinfl.aor2act9f
δήλωσον,lsj.n24342,forms.3213410000,verbstems.n24342,verbinfl.owaorimp1
δηλωσάτω,lsj.n24342,forms.3313410000,verbstems.n24342,verbinfl.owaorimp2
δηλώσατε,lsj.n24342,forms.3233410000,verbstems.n24342,verbinfl.owaorimp3
δηλωσάντων,lsj.n24342,forms.3333410000,verbstems.n24342,verbinfl.owaorimp4
δήλωσαι,lsj.n24342,forms.3213420000,verbstems.n24342,verbinfl.owaorimp5
δηλωσάσθω,lsj.n24342,forms.3313420000,verbstems.n24342,verbinfl.owaorimp6
δηλώσασθε,lsj.n24342,forms.3233420000,verbstems.n24342,verbinfl.owaorimp7
δηλωσάσθων,lsj.n24342,forms.3333420000,verbstems.n24342,verbinfl.owaorimp8
δηλώσθητι,lsj.n24342,forms.3213430000,verbstems.n24342,verbinfl.owaorimp9
δηλωσθήτω,lsj.n24342,forms.3313430000,verbstems.n24342,verbinfl.owaorimp10
δηλώσθητε,lsj.n24342,forms.3233430000,verbstems.n24342,verbinfl.owaorimp11
δηλωσθέντων,lsj.n24342,forms.3333430000,verbstems.n24342,verbinfl.owaorimp12
ἐδήλωσα,lsj.n24342,forms.3113110000,verbstems.n24342,verbinfl.owaor1
ἐδηλωσάμην,lsj.n24342,forms.3113120000,verbstems.n24342,verbinfl.owaor2
ἐδηλώθην,lsj.n24342,forms.3113130000,verbstems.n24342,verbinfl.owaor3
ἐδήλωσας,lsj.n24342,forms.3213110000,verbstems.n24342,verbinfl.owaor4
ἐδηλώσω,lsj.n24342,forms.3213120000,verbstems.n24342,verbinfl.owaor5
ἐδηλώθης,lsj.n24342,forms.3213130000,verbstems.n24342,verbinfl.owaor6
ἐδήλωσε,lsj.n24342,forms.3313110000,verbstems.n24342,verbinfl.owaor7
ἐδηλώσατο,lsj.n24342,forms.3313120000,verbstems.n24342,verbinfl.owaor8
ἐδηλώθη,lsj.n24342,forms.3313130000,verbstems.n24342,verbinfl.owaor9
ἐδηλώσαμεν,lsj.n24342,forms.3133110000,verbstems.n24342,verbinfl.owaor10
ἐδηλωσάμεθα,lsj.n24342,forms.3133120000,verbstems.n24342,verbinfl.owaor11
ἐδηλώθημεν,lsj.n24342,forms.3133130000,verbstems.n24342,verbinfl.owaor12
ἐδηλώσατε,lsj.n24342,forms.3233110000,verbstems.n24342,verbinfl.owaor13
ἐδηλώσασθε,lsj.n24342,forms.3233120000,verbstems.n24342,verbinfl.owaor14
ἐδηλώθητε,lsj.n24342,forms.3233130000,verbstems.n24342,verbinfl.owaor15
ἐδήλωσαν,lsj.n24342,forms.3333110000,verbstems.n24342,verbinfl.owaor16
ἐδηλώσαντο,lsj.n24342,forms.3333120000,verbstems.n24342,verbinfl.owaor17
ἐδηλώθησαν,lsj.n24342,forms.3333130000,verbstems.n24342,verbinfl.owaor18
δηλώσαιμι,lsj.n24342,forms.3113310000,verbstems.n24342,verbinfl.owaoropt1
δηλωσαίμην,lsj.n24342,forms.3113320000,verbstems.n24342,verbinfl.owaoropt2
δηλωθείην,lsj.n24342,forms.3113330000,verbstems.n24342,verbinfl.owaoropt3
δηλώσαις,lsj.n24342,forms.3213310000,verbstems.n24342,verbinfl.owaoropt4
δηλώσειας,lsj.n24342,forms.3213310000,verbstems.n24342,verbinfl.owaoropt4a
δηλώσαιο,lsj.n24342,forms.3213320000,verbstems.n24342,verbinfl.owaoropt5
δηλωθείη,lsj.n24342,forms.3213330000,verbstems.n24342,verbinfl.owaoropt6
δήλωσαι,lsj.n24342,forms.3313310000,verbstems.n24342,verbinfl.owaoropt7
δηλώσειε,lsj.n24342,forms.3313310000,verbstems.n24342,verbinfl.owaoropt7a
δηλώσαιτο,lsj.n24342,forms.3313320000,verbstems.n24342,verbinfl.owaoropt8
δηλωθείη,lsj.n24342,forms.3313330000,verbstems.n24342,verbinfl.owaoropt9
δηλώσαιμεν,lsj.n24342,forms.3133310000,verbstems.n24342,verbinfl.owaoropt10
δηλωσαίμεθα,lsj.n24342,forms.3133320000,verbstems.n24342,verbinfl.owaoropt11
δηλωθεῖμεν,lsj.n24342,forms.3133330000,verbstems.n24342,verbinfl.owaoropt12
δηλώσαιτε,lsj.n24342,forms.3233310000,verbstems.n24342,verbinfl.owaoropt13
δηλώσαισθε,lsj.n24342,forms.3233320000,verbstems.n24342,verbinfl.owaoropt14
δηλωθεῖτε,lsj.n24342,forms.3233330000,verbstems.n24342,verbinfl.owaoropt15
δηλώσαιεν,lsj.n24342,forms.3333310000,verbstems.n24342,verbinfl.owaoropt16
δηλώσαιντο,lsj.n24342,forms.3333320000,verbstems.n24342,verbinfl.owaoropt17
δηλωθεῖεν,lsj.n24342,forms.3333330000,verbstems.n24342,verbinfl.owaoropt18
δηλώσω,lsj.n24342,forms.3113210000,verbstems.n24342,verbinfl.owaorsubj1
δηλώσωμαι,lsj.n24342,forms.3113220000,verbstems.n24342,verbinfl.owaorsubj2
δηλωθῶ,lsj.n24342,forms.3113230000,verbstems.n24342,verbinfl.owaorsubj3
δηλώσῃς,lsj.n24342,forms.3213210000,verbstems.n24342,verbinfl.owaorsubj4
δηλώσῃ,lsj.n24342,forms.3213220000,verbstems.n24342,verbinfl.owaorsubj5
δηλωθῇς,lsj.n24342,forms.3213230000,verbstems.n24342,verbinfl.owaorsubj6
δηλώσῃ,lsj.n24342,forms.3313210000,verbstems.n24342,verbinfl.owaorsubj7
δηλώσηται,lsj.n24342,forms.3313220000,verbstems.n24342,verbinfl.owaorsubj8
δηλωθῇ,lsj.n24342,forms.3313230000,verbstems.n24342,verbinfl.owaorsubj9
δηλώσωμεν,lsj.n24342,forms.3133210000,verbstems.n24342,verbinfl.owaorsubj10
δηλωσώμεθα,lsj.n24342,forms.3133220000,verbstems.n24342,verbinfl.owaorsubj11
δηλωθῶμεν,lsj.n24342,forms.3133230000,verbstems.n24342,verbinfl.owaorsubj12
δηλωσήσετε,lsj.n24342,forms.3233210000,verbstems.n24342,verbinfl.owaorsubj13
δηλώσησθε,lsj.n24342,forms.3233220000,verbstems.n24342,verbinfl.owaorsubj14
δηλωθῆτε,lsj.n24342,forms.3233230000,verbstems.n24342,verbinfl.owaorsubj15
δηλώσωσι,lsj.n24342,forms.3333210000,verbstems.n24342,verbinfl.owaorsubj16
δηλώσωσιν,lsj.n24342,forms.3333210000,verbstems.n24342,verbinfl.owaorsubj16a
δηλώσωνται,lsj.n24342,forms.3333220000,verbstems.n24342,verbinfl.owaorsubj17
δηλωθῶσι,lsj.n24342,forms.3333230000,verbstems.n24342,verbinfl.owaorsubj18
δηλωθῶσιν,lsj.n24342,forms.3333230000,verbstems.n24342,verbinfl.owaorsubj18a
δηλώσω,lsj.n24342,forms.3116110000,verbstems.n24342,verbinfl.owfut1
δηλώσομαι,lsj.n24342,forms.3116120000,verbstems.n24342,verbinfl.owfut2
δηλωθήσομαι,lsj.n24342,forms.3116130000,verbstems.n24342,verbinfl.owfut3
δηλώσεις,lsj.n24342,forms.3216110000,verbstems.n24342,verbinfl.owfut4
δηλώσει,lsj.n24342,forms.3216120000,verbstems.n24342,verbinfl.owfut5
δηλωθήσεις,lsj.n24342,forms.3216130000,verbstems.n24342,verbinfl.owfut6
δηλώσει,lsj.n24342,forms.3316110000,verbstems.n24342,verbinfl.owfut7
δηλώσεται,lsj.n24342,forms.3316120000,verbstems.n24342,verbinfl.owfut8
δηλωθήσει,lsj.n24342,forms.3316130000,verbstems.n24342,verbinfl.owfut9
δηλώσομεν,lsj.n24342,forms.3136110000,verbstems.n24342,verbinfl.owfut10
δηλωσόμεθα,lsj.n24342,forms.3136120000,verbstems.n24342,verbinfl.owfut11
δηλωθησόμεθα,lsj.n24342,forms.3136130000,verbstems.n24342,verbinfl.owfut12
δηλώσετε,lsj.n24342,forms.3236110000,verbstems.n24342,verbinfl.owfut13
δηλώσεσθε,lsj.n24342,forms.3236120000,verbstems.n24342,verbinfl.owfut14
δηλωθήσεσθε,lsj.n24342,forms.3236130000,verbstems.n24342,verbinfl.owfut15
δηλώσουσι,lsj.n24342,forms.3336110000,verbstems.n24342,verbinfl.owfut16
δηλώσουσιν,lsj.n24342,forms.3336110000,verbstems.n24342,verbinfl.owfut16a
δηλώσονται,lsj.n24342,forms.3336120000,verbstems.n24342,verbinfl.owfut17
δηλωθήσονται,lsj.n24342,forms.3336130000,verbstems.n24342,verbinfl.owfut18
δηλώσοιμι,lsj.n24342,forms.3116310000,verbstems.n24342,verbinfl.owfutopt1
